,study_ID,site_ID,state,rye_planting_date,rye_sampling_date,growing_days,N_rate_fall.kg_ha,N_rate_spring.kg_ha,zone,GS0_20avgTmin,GS0_20avgTmax,GS0_20avgTavg,GS0_20avgSrad,GS0_20cRain,GS0_20cGDD,GS20_30avgTmin,GS20_30avgTmax,GS20_30avgTavg,GS20_30avgSrad,GS20_30cRain,GS20_30cGDD,GS30_40avgTmin,GS30_40avgTmax,GS30_40avgTavg,GS30_40avgSrad,GS30_40cRain,GS30_40cGDD,GS40_50avgTmin,GS40_50avgTmax,GS40_50avgTavg,GS40_50avgSrad,GS40_50cRain,GS40_50cGDD,GS50avgTmin,GS50avgTmax,GS50avgTavg,GS50avgSrad,GS50cRain,GS50cGDD,FallcumGDD,SpringcumGDD,TotalcumGDD,OM (%/100),Sand,Silt,Clay,awc,legume_preceding,planting_method,cn_ratio_mean,cn_ratio_std,cn_ratio_count,biomass_mean,biomass_mean_std,biomass_count
0,1,1,IA,10/13/05,4/27/06,196,0,0,5a,-4.93,6.05,0.56,8.75,230.94,232.65,7.01,26.02,16.51,21.3,17.56,84.77,4.43,19.12,11.77,19.48,20.86,88.455,,,,,,,,,,,,,170.575,229.845,405.885,0.0498,0.3278,0.4078,0.2644,0.1977,yes,Drilled,,,0,3344.285714,700.8294405,7
1,1,1,IA,10/25/06,5/10/07,197,0,0,5a,-6.89,3.95,-1.47,9.21,245.66,147.12,0.37,11.96,6.17,16.83,87.56,90.71,7.79,19.43,13.61,16.41,130.13,82.91,11.34,23.89,17.62,17.5,18.49,92.525,12.11,24.11,18.11,18.75,38.28,68.535,68.565,406.475,481.79,0.0498,0.3278,0.4078,0.2644,0.1977,yes,Drilled,,,0,1516.666667,423.7880323,7
2,1,1,IA,10/20/08,5/8/09,200,0,0,5a,-7.74,3.67,-2.03,9.97,333.68,174.7,4.69,18.24,11.46,19.29,92.41,91.83,7.67,19.6,13.64,19.13,11.64,83.11,10.24,23.61,16.92,16.64,6.23,12.525,,,,,,,100.89,257.58,362.17,0.0498,0.3278,0.4078,0.2644,0.1977,yes,Drilled,,,0,1352.380952,268.7330651,7
3,2,2,IL,9/24/04,5/17/05,235,0,0,6a,5.14,17.49,11.31,9.74,153.01,375.73,-3.22,6.08,1.43,9.39,427.62,178.32,5.97,21.62,13.79,19.66,36.63,103.325,4.31,16.78,10.54,17.92,60.88,111.23,9.88,24.91,17.4,22.07,7.64,155.95,420.47,462.135,924.555,0.0517,0.07,0.598,0.332,0.182,no,Drilled,,,0,7712.5,,1
4,2,2,IL,9/21/05,5/22/06,243,0,0,6a,9.28,22.39,15.84,11.75,110.82,376.01,-3.03,7.18,2.07,8.72,324.33,219.585,4.73,19.04,11.89,18.81,53.64,112.325,9.48,23.3,16.39,18.96,44.08,107.9,7.84,18.94,13.39,18.29,72.82,260.755,508.37,539.73,1076.59,0.0517,0.07,0.598,0.332,0.182,no,Drilled,,,0,6062.5,,1
5,2,2,IL,9/20/06,5/22/07,244,0,0,6a,3.41,15.29,9.35,9.94,151.18,379.8,-5.05,4.49,-0.28,9.53,323.37,158.385,4.23,15.06,9.64,14.64,29.92,109.005,4.22,17.97,11.09,19.31,42.99,110.15,11.07,26.29,18.68,22.81,11.09,371.295,388.965,695.335,1128.63,0.0517,0.07,0.598,0.332,0.182,no,Drilled,,,0,5355,,1
6,3,2,IL,9/17/07,5/21/08,247,0,0,6a,14.31,29.64,21.97,13.39,27.55,382.75,-3.25,6.96,1.85,9.97,512.84,342.66,5.04,16.96,11,18.2,54.34,107.19,6.77,19.63,13.2,19.92,17.32,114.375,7.77,18.82,13.29,18.59,87.25,142.255,643.9,416.39,1089.24,0.0517,0.07,0.598,0.332,0.182,no,Drilled,,,0,10053.71429,3545.004239,7
7,3,2,IL,9/11/08,5/22/09,253,0,0,6a,10.83,24.31,17.57,14.25,134.61,380.92,-4.69,6.12,0.72,8.95,304.69,315.02,1.44,13.87,7.66,15.98,122.27,109.96,9.23,21.23,15.23,17.79,71.19,108.265,9.82,21.52,15.67,20.3,134.79,281.78,612.835,553.3,1195.95,0.0517,0.07,0.598,0.332,0.182,no,Drilled,,,0,10179.25,2025.04416,6
8,3,2,IL,8/17/09,5/20/10,276,0,0,6a,14.02,25.2,19.61,17.24,85.97,379.58,-1.07,8.38,3.66,10.02,585.3,674.685,6.48,21.38,13.93,19.56,25.85,247.7,9.57,20.71,15.14,17.45,70.31,225.505,,,,,,,936.02,589.085,1527.485,0.0517,0.07,0.598,0.332,0.182,no,Drilled,,,0,9084.333333,454.5044188,6
9,7,3,IA,9/3/15,4/13/16,223,0,0,5b,14,26.29,20.15,14.96,70.31,387.04,5.74,18.74,12.24,10.55,59.72,305.615,-4.42,5.2,0.39,9.19,350.93,170.92,,,,,,,,,,,,,735.31,115.375,863.58,0.0498,0.3278,0.4078,0.2644,0.1977,yes,Broadcast,27.78333333,0.278762145,3,2017.980833,44.89601718,3
